"email","full_name","department_full_name","job_title"
estherpou4@gmail.com,Alejandrina Pou Montano,,Operator I
it@aust-dev.com,Administrator,,
arusson@centerpoint-systems.com,Austin Russon,Payroll Cost Centers / CENG,Senior R&D Engineer
arellanoyesi40@gmail.com,Yesinia Arellano,Manufacturing,Operator
boneill@aust-dev.com,Brendan O'Neill,R&D Engineering,R&D Engineer
gogami@aust-mfg.com,Gavin Ogami,Payroll Cost Centers / MOPS,
brian.k.cottle@utah.edu,Brian Cottle,Manufacturing Engineering,Intern
goya6664@hotmail.com,Carmen Rojas,Manufacturing,Operator
kschofield@aust-mfg.com,Katie Schofield,Administration,Quality Associate
adria.eversull@aust-mfg.com,Adria Eversull,Administration,Buyer
mgamber@aust-dev.com,Marybeth Gamber,Administration,V.P. Quality and Regulatory/QS Mgt Rep
ehu@aust-dev.com,Elliot Hu,,Engineering Intern
avriens@aust-mfg.com,Ashton Vriens,Manufacturing Engineering,Intern
sarahliciad2014@gmail.com,Sarah Delgado Rodriguez,Manufacturing,Operator
astinson@aust-mfg.com,Andrew Stinson,Manufacturing Engineering,Manufacturing Engineer
ballen@aust-mfg.com,Blake Allen,Manufacturing Engineering,Director Engineering
chris@aust-dev.com,Chris Eversull,Administration,Founders
pselbo@aust-mfg.com,Parker Selbo,Manufacturing Engineering,Intern
ashfarfan671@gmail.com,Ashley Megia Farfan,Manufacturing / Development,Operator I
Jhonnymacias2207@gmail.com,Jhon Trespalacios,Manufacturing / CenterPoint - Day,Operator I
steve@aust-dev.com,Steve Leeflang,,Founders
jhoma_ma@hotmail.com,Arthur Soto Macias,Manufacturing,Inventory Handler
dantesinferno2012vl@gmail.com,Victor Lopez,Manufacturing Engineering,Senior Engineering Technician
chris@aust-dev.com,Leeflang/Eversull,Administration,Founders/Principal
rstanger@centerpoint-systems.com,Riley Stanger,Payroll Cost Centers / CENG,Development Technician
elopez@aust-mfg.com,Everiel Lopez,Payroll Cost Centers / MOPS-F,Shift Lead
lsongbadth@aust-dev.com,Larry Songbadth,Manufacturing,Assembler
lgrimes@aust-mfg.com,Logan Grimes,Payroll Cost Centers / MOPS,Senior Manufacturing Engineer
ckrause@aust-mfg.com,Connor Krause,Payroll Cost Centers / MOPS,Manufacturing Engineer
mmachon@aust-mfg.com,Madelyn Machon,Payroll Cost Centers / MENG,NPI Process Development Engineer
kschultz@aust-mfg.com,Kurt Schultz,Manufacturing,Senior Manufacturing Engineer
bcuandon@aust-mfg.com,Braulio Cuandon,Payroll Cost Centers / MENG,NPI Process Development Engineer
lucy.alvarado.la@gmail.com,Lucy Alvarado,Manufacturing,Operator
mburton@aust-mfg.com,Mark Burton,Payroll Cost Centers / MOPS,Engineering Technician
kirill@aust-mfg.com,Kirill Chernyavskiy,Payroll Cost Centers / MG&A,Director Supply Chain
levans@aust-mfg.com,Lyle Evans,Quality & Regulatory,Quality Associate
caro.1204@hotmail.com,Carolina Guzman,Manufacturing,Operator
clindsey@aust.mfg,Craig Lindsey,,
jstrange@centerpoint-systems.com,Jeremy Strange,Payroll Cost Centers / CQRG,Quality Control Supervisor
bchu@aust-mfg.com,"Sang Wook ""Bryan"" Chu",Payroll Cost Centers / MOPS,Manufacturing Engineer
hduffy@centerpoint-systems.com,Hannah Duffy,Payroll Cost Centers / CENG,Intern
denno84124@gmail.com,Dennis Barela,,
smatsukawa@centerpoint-systems.com,Samantha Matsukawa,Payroll Cost Centers / CQRG,Quality Specialist
tclark@centerpoint-systems.com,Teresa Clark,Payroll Cost Centers / CQRG,Director Quality
alepre@aust-mfg.com,Anthony Lepre,Manufacturing / Development,R&D Engineer
cmaximo@aust-mfg.com,Cindy Maximo,Payroll Cost Centers / CQRG,Quality Inspector
fabiola15banda@gmail.com,Fabiola Banda,Payroll Cost Centers / MOPS-F,Operator II
jscharrer@aust-mfg.com,Joy Scharrer,Manufacturing Engineering,Procurement Manager
blamb@aust-mfg.com,Brenton Lamb,Manufacturing Engineering,Senior Manufacturing Engineer
larellano@aust-mfg.com,Lisandra Arellano Vitela,Payroll Cost Centers / MQRG,Quality Specialist I
cchipman@aust-mfg.com,Chris Chipman,Manufacturing Engineering,Maintenance Manager
snesbitt@aust-mfg.com,Shawn Nesbitt,Manufacturing,Director Operations
nanderson@aust-mfg.com,Nathan Anderson,Manufacturing Engineering,Manufacturing Engineer
cjohnson@centerpoint-systems.com,Conner Johnson,Quality & Regulatory,Director Regulatory Affairs
aeversull@aust-dev.com,Aaron Eversull,Manufacturing Engineering,Consultant
tmyrup@aust-mfg.com,Tom Myrup,Quality & Regulatory,Quality Associate
totyramirez13@gmail.com,Joisi Ramirez,Manufacturing,Quality Control Inspector
ahernandez@aust-mfg.com,Aaron Hernandez,,Operator
vsanchez@aust-mfg.com,Victor Sanchez,Payroll Cost Centers / MOPS,Materials Supervisor
nziegler@aust-mfg.com,Nicolas Ziegler,Manufacturing Engineering,Manufacturing Engineer
amartinez@aust-mfg.com,Aldo Martinez,Manufacturing,Director Manufacturing
csamson@aust-mfg.com,Chat Samson,Manufacturing,Finance & Admin. Specialist
kpowell@aust-mfg.com,Kennedy Powell,R&D Engineer,Manufacturing Engineer II
chris@aust-dev.com,Chris Eversull,Administration,Founder
cnguyen@aust-mfg.com,Trang Chau Nguyen,Payroll Cost Centers / MENG,Senior Engineering Technician
mritchie@aust-mfg.com,Mark Ritchie,Administration,General Manager
chris@aust-dev.com,Chris Eversull,Administration,Founder
jgonzalez@aust-mfg.com,Jason Gonzalez,Payroll Cost Centers / MOPS,Production Manager
cjackson@centerpoint-systems.com,Colton Jackson,Payroll Cost Centers / CENG,R&D Engineer
epadilla@aust-mfg.com,Jasmin Padilla,Payroll Cost Centers / CQRG,Quality Inspector
pnielson@aust-mfg.com,Patrick Nielson,Manufacturing Engineering,Senior R&D Engineer
rjimenez@aust-mfg.com,Rosa Elia Preciado-Jimenez,Manufacturing / CenterPoint - Day,Production Supervisor
swong@aust-mfg.com,Susan Wong,Manufacturing / Development,Line Lead
jspillman@aust-mfg.com,Jim Spillman,Manufacturing,Quality Control Supervisor
lhernandez@aust-mfg.com,Leo Hernandez,Manufacturing,Production Supervisor
awhiteley@aust-mfg.com,Austin Whiteley,Payroll Cost Centers / CENG,Associate R&D Engineer
mritchie@aust-mfg.com,Mark Ritchie,Administration,General Manager
iquintero@aust-mfg.com,Israel Quintero,Payroll Cost Centers / MG&A,Material Handler
scornell@aust-mfg.com,Steven Cornell,Payroll Cost Centers / MG&A,Supervisor
jlance@aust-mfg.com,Justin Lance,,Director New Product INtroduction
rstephenson@aust-mfg.com,Richard Stephenson,Payroll Cost Centers / MENG,Senior Process Development Engineer
mwelty@aust-mfg.com,Morgan Welty,Manufacturing,Director Manufacturing
clindsey@centerpoint-systems.com,Craig Lindsey,Payroll Cost Centers / MOPS-F,Development Supervisor
gritter@aust-mfg.com,Glenn Ritter,Administration,Program Manager [MFG]
mgranados@aust-mfg.com,Marisol Granados,Administration,Employee Integration Lead
mgilmore@aust-mfg.com,Michael Gilmore,Payroll Cost Centers / MOPS-D,
dgopinath@centerpoint-systems.com,Deepthi Gopinath,Payroll Cost Centers / CQRG,Senior Quality Engineer
egarrido@aust-mfg.com,Edictmar Karelys Garrido Olivar,Manufacturing / Sub-Assembly - Swing,Supervisor
